"","x"
"1","ENSOARG00000000345"
"2","ENSOARG00000000531"
"3","ENSOARG00000000549"
"4","ENSOARG00000000848"
"5","ENSOARG00000000870"
"6","ENSOARG00000001346"
"7","ENSOARG00000001554"
"8","ENSOARG00000001587"
"9","ENSOARG00000001968"
"10","ENSOARG00000001985"
"11","ENSOARG00000002489"
"12","ENSOARG00000002562"
"13","ENSOARG00000002778"
"14","ENSOARG00000002865"
"15","ENSOARG00000002866"
"16","ENSOARG00000002973"
"17","ENSOARG00000003121"
"18","ENSOARG00000003437"
"19","ENSOARG00000003601"
"20","ENSOARG00000003624"
"21","ENSOARG00000003895"
"22","ENSOARG00000004062"
"23","ENSOARG00000004930"
"24","ENSOARG00000005014"
"25","ENSOARG00000005078"
"26","ENSOARG00000005315"
"27","ENSOARG00000005471"
"28","ENSOARG00000005526"
"29","ENSOARG00000005699"
"30","ENSOARG00000005709"
"31","ENSOARG00000005722"
"32","ENSOARG00000005780"
"33","ENSOARG00000005888"
"34","ENSOARG00000006314"
"35","ENSOARG00000006737"
"36","ENSOARG00000006822"
"37","ENSOARG00000006867"
"38","ENSOARG00000006909"
"39","ENSOARG00000006941"
"40","ENSOARG00000007029"
"41","ENSOARG00000007044"
"42","ENSOARG00000007322"
"43","ENSOARG00000007549"
"44","ENSOARG00000008063"
"45","ENSOARG00000008186"
"46","ENSOARG00000008330"
"47","ENSOARG00000008351"
"48","ENSOARG00000008367"
"49","ENSOARG00000008480"
"50","ENSOARG00000008637"
"51","ENSOARG00000008775"
"52","ENSOARG00000009233"
"53","ENSOARG00000009463"
"54","ENSOARG00000009518"
"55","ENSOARG00000009752"
"56","ENSOARG00000009798"
"57","ENSOARG00000009958"
"58","ENSOARG00000010026"
"59","ENSOARG00000010638"
"60","ENSOARG00000010649"
"61","ENSOARG00000010816"
"62","ENSOARG00000011052"
"63","ENSOARG00000011180"
"64","ENSOARG00000011356"
"65","ENSOARG00000011449"
"66","ENSOARG00000011789"
"67","ENSOARG00000011915"
"68","ENSOARG00000012056"
"69","ENSOARG00000012149"
"70","ENSOARG00000012165"
"71","ENSOARG00000012224"
"72","ENSOARG00000012362"
"73","ENSOARG00000012437"
"74","ENSOARG00000012958"
"75","ENSOARG00000013047"
"76","ENSOARG00000013449"
"77","ENSOARG00000013545"
"78","ENSOARG00000013669"
"79","ENSOARG00000013716"
"80","ENSOARG00000013724"
"81","ENSOARG00000014199"
"82","ENSOARG00000014207"
"83","ENSOARG00000014661"
"84","ENSOARG00000014729"
"85","ENSOARG00000014766"
"86","ENSOARG00000014836"
"87","ENSOARG00000015034"
"88","ENSOARG00000015579"
"89","ENSOARG00000015752"
"90","ENSOARG00000016178"
"91","ENSOARG00000016212"
"92","ENSOARG00000016305"
"93","ENSOARG00000016359"
"94","ENSOARG00000017011"
"95","ENSOARG00000017123"
"96","ENSOARG00000017163"
"97","ENSOARG00000017237"
"98","ENSOARG00000017490"
"99","ENSOARG00000017805"
"100","ENSOARG00000017823"
"101","ENSOARG00000018146"
"102","ENSOARG00000018277"
"103","ENSOARG00000018362"
"104","ENSOARG00000018396"
"105","ENSOARG00000018906"
"106","ENSOARG00000018916"
"107","ENSOARG00000018930"
"108","ENSOARG00000019698"
"109","ENSOARG00000020131"
"110","ENSOARG00000020158"
"111","ENSOARG00000020178"
"112","ENSOARG00000020451"
"113","ENSOARG00000020469"
"114","ENSOARG00000020626"
"115","ENSOARG00000020689"
"116","ENSOARG00000021020"
"117","ENSOARG00000025935"
"118","ENSOARG00000000217"
"119","ENSOARG00000000936"
"120","ENSOARG00000001138"
"121","ENSOARG00000001933"
"122","ENSOARG00000003366"
"123","ENSOARG00000005450"
"124","ENSOARG00000008660"
"125","ENSOARG00000008786"
"126","ENSOARG00000008838"
"127","ENSOARG00000008913"
"128","ENSOARG00000009097"
"129","ENSOARG00000009563"
"130","ENSOARG00000010230"
"131","ENSOARG00000010332"
"132","ENSOARG00000012206"
"133","ENSOARG00000012264"
"134","ENSOARG00000014731"
"135","ENSOARG00000015262"
"136","ENSOARG00000015547"
"137","ENSOARG00000016786"
"138","ENSOARG00000016859"
"139","ENSOARG00000016979"
"140","ENSOARG00000018383"
"141","ENSOARG00000018592"
"142","ENSOARG00000020481"
"143","ENSOARG00000002060"
"144","ENSOARG00000003867"
"145","ENSOARG00000006087"
"146","ENSOARG00000011304"
"147","ENSOARG00000011685"
"148","ENSOARG00000013183"
"149","ENSOARG00000014509"
"150","ENSOARG00000016717"
"151","ENSOARG00000020740"
"152","ENSOARG00000002559"
"153","ENSOARG00000004833"
"154","ENSOARG00000011885"
"155","ENSOARG00000000879"
"156","ENSOARG00000002031"
"157","ENSOARG00000003042"
"158","ENSOARG00000003044"
"159","ENSOARG00000005854"
"160","ENSOARG00000006408"
"161","ENSOARG00000006557"
"162","ENSOARG00000007849"
"163","ENSOARG00000007935"
"164","ENSOARG00000008867"
"165","ENSOARG00000009028"
"166","ENSOARG00000009291"
"167","ENSOARG00000009843"
"168","ENSOARG00000009884"
"169","ENSOARG00000010088"
"170","ENSOARG00000010120"
"171","ENSOARG00000010382"
"172","ENSOARG00000010561"
"173","ENSOARG00000010710"
"174","ENSOARG00000011391"
"175","ENSOARG00000011622"
"176","ENSOARG00000012695"
"177","ENSOARG00000012848"
"178","ENSOARG00000013019"
"179","ENSOARG00000014283"
"180","ENSOARG00000014564"
"181","ENSOARG00000014856"
"182","ENSOARG00000015237"
"183","ENSOARG00000016092"
"184","ENSOARG00000016098"
"185","ENSOARG00000018795"
"186","ENSOARG00000020289"
"187","ENSOARG00000020838"
"188","ENSOARG00000023487"
"189","ENSOARG00000024669"
"190","ENSOARG00000025214"
"191","ENSOARG00000025549"
"192","ENSOARG00000026322"
"193","ENSOARG00000019163"
"194","ENSOARG00000000130"
"195","ENSOARG00000000158"
"196","ENSOARG00000000327"
"197","ENSOARG00000000348"
"198","ENSOARG00000000392"
"199","ENSOARG00000000443"
"200","ENSOARG00000000461"
"201","ENSOARG00000000465"
"202","ENSOARG00000000484"
"203","ENSOARG00000000498"
"204","ENSOARG00000000510"
"205","ENSOARG00000000612"
"206","ENSOARG00000000684"
"207","ENSOARG00000000714"
"208","ENSOARG00000000729"
"209","ENSOARG00000000778"
"210","ENSOARG00000000803"
"211","ENSOARG00000000838"
"212","ENSOARG00000000858"
"213","ENSOARG00000000899"
"214","ENSOARG00000000950"
"215","ENSOARG00000001010"
"216","ENSOARG00000001035"
"217","ENSOARG00000001060"
"218","ENSOARG00000001084"
"219","ENSOARG00000001160"
"220","ENSOARG00000001254"
"221","ENSOARG00000001300"
"222","ENSOARG00000001308"
"223","ENSOARG00000001374"
"224","ENSOARG00000001395"
"225","ENSOARG00000001456"
"226","ENSOARG00000001489"
"227","ENSOARG00000001511"
"228","ENSOARG00000001525"
"229","ENSOARG00000001543"
"230","ENSOARG00000001544"
"231","ENSOARG00000001673"
"232","ENSOARG00000001783"
"233","ENSOARG00000001827"
"234","ENSOARG00000001849"
"235","ENSOARG00000002035"
"236","ENSOARG00000002079"
"237","ENSOARG00000002145"
"238","ENSOARG00000002211"
"239","ENSOARG00000002307"
"240","ENSOARG00000002402"
"241","ENSOARG00000002539"
"242","ENSOARG00000002564"
"243","ENSOARG00000002674"
"244","ENSOARG00000002688"
"245","ENSOARG00000002724"
"246","ENSOARG00000002746"
"247","ENSOARG00000002815"
"248","ENSOARG00000002844"
"249","ENSOARG00000002887"
"250","ENSOARG00000002898"
"251","ENSOARG00000002924"
"252","ENSOARG00000003030"
"253","ENSOARG00000003213"
"254","ENSOARG00000003221"
"255","ENSOARG00000003319"
"256","ENSOARG00000003365"
"257","ENSOARG00000003401"
"258","ENSOARG00000003449"
"259","ENSOARG00000003452"
"260","ENSOARG00000003492"
"261","ENSOARG00000003513"
"262","ENSOARG00000003517"
"263","ENSOARG00000003647"
"264","ENSOARG00000003701"
"265","ENSOARG00000003722"
"266","ENSOARG00000003729"
"267","ENSOARG00000003778"
"268","ENSOARG00000003820"
"269","ENSOARG00000003828"
"270","ENSOARG00000003856"
"271","ENSOARG00000003963"
"272","ENSOARG00000004049"
"273","ENSOARG00000004145"
"274","ENSOARG00000004190"
"275","ENSOARG00000004211"
"276","ENSOARG00000004222"
"277","ENSOARG00000004239"
"278","ENSOARG00000004247"
"279","ENSOARG00000004299"
"280","ENSOARG00000004394"
"281","ENSOARG00000004438"
"282","ENSOARG00000004454"
"283","ENSOARG00000004493"
"284","ENSOARG00000004611"
"285","ENSOARG00000004758"
"286","ENSOARG00000004829"
"287","ENSOARG00000004881"
"288","ENSOARG00000004915"
"289","ENSOARG00000004942"
"290","ENSOARG00000004944"
"291","ENSOARG00000004969"
"292","ENSOARG00000005098"
"293","ENSOARG00000005106"
"294","ENSOARG00000005149"
"295","ENSOARG00000005169"
"296","ENSOARG00000005228"
"297","ENSOARG00000005230"
"298","ENSOARG00000005238"
"299","ENSOARG00000005247"
"300","ENSOARG00000005263"
"301","ENSOARG00000005318"
"302","ENSOARG00000005367"
"303","ENSOARG00000005448"
"304","ENSOARG00000005462"
"305","ENSOARG00000005484"
"306","ENSOARG00000005503"
"307","ENSOARG00000005513"
"308","ENSOARG00000005655"
"309","ENSOARG00000005766"
"310","ENSOARG00000005783"
"311","ENSOARG00000005812"
"312","ENSOARG00000005821"
"313","ENSOARG00000005916"
"314","ENSOARG00000006002"
"315","ENSOARG00000006033"
"316","ENSOARG00000006041"
"317","ENSOARG00000006043"
"318","ENSOARG00000006068"
"319","ENSOARG00000006085"
"320","ENSOARG00000006146"
"321","ENSOARG00000006159"
"322","ENSOARG00000006175"
"323","ENSOARG00000006211"
"324","ENSOARG00000006275"
"325","ENSOARG00000006407"
"326","ENSOARG00000006447"
"327","ENSOARG00000006517"
"328","ENSOARG00000006521"
"329","ENSOARG00000006569"
"330","ENSOARG00000006577"
"331","ENSOARG00000006586"
"332","ENSOARG00000006675"
"333","ENSOARG00000006714"
"334","ENSOARG00000006756"
"335","ENSOARG00000006901"
"336","ENSOARG00000006911"
"337","ENSOARG00000006979"
"338","ENSOARG00000006993"
"339","ENSOARG00000006999"
"340","ENSOARG00000007200"
"341","ENSOARG00000007244"
"342","ENSOARG00000007252"
"343","ENSOARG00000007262"
"344","ENSOARG00000007287"
"345","ENSOARG00000007329"
"346","ENSOARG00000007414"
"347","ENSOARG00000007432"
"348","ENSOARG00000007494"
"349","ENSOARG00000007510"
"350","ENSOARG00000007534"
"351","ENSOARG00000007579"
"352","ENSOARG00000007580"
"353","ENSOARG00000007622"
"354","ENSOARG00000007648"
"355","ENSOARG00000007656"
"356","ENSOARG00000007666"
"357","ENSOARG00000007696"
"358","ENSOARG00000007720"
"359","ENSOARG00000007738"
"360","ENSOARG00000007745"
"361","ENSOARG00000007753"
"362","ENSOARG00000007775"
"363","ENSOARG00000007806"
"364","ENSOARG00000008011"
"365","ENSOARG00000008076"
"366","ENSOARG00000008078"
"367","ENSOARG00000008096"
"368","ENSOARG00000008189"
"369","ENSOARG00000008243"
"370","ENSOARG00000008285"
"371","ENSOARG00000008313"
"372","ENSOARG00000008337"
"373","ENSOARG00000008399"
"374","ENSOARG00000008460"
"375","ENSOARG00000008468"
"376","ENSOARG00000008491"
"377","ENSOARG00000008648"
"378","ENSOARG00000008650"
"379","ENSOARG00000008705"
"380","ENSOARG00000008743"
"381","ENSOARG00000008752"
"382","ENSOARG00000008842"
"383","ENSOARG00000008896"
"384","ENSOARG00000008899"
"385","ENSOARG00000008961"
"386","ENSOARG00000008976"
"387","ENSOARG00000008988"
"388","ENSOARG00000009063"
"389","ENSOARG00000009079"
"390","ENSOARG00000009107"
"391","ENSOARG00000009154"
"392","ENSOARG00000009169"
"393","ENSOARG00000009170"
"394","ENSOARG00000009194"
"395","ENSOARG00000009225"
"396","ENSOARG00000009226"
"397","ENSOARG00000009230"
"398","ENSOARG00000009241"
"399","ENSOARG00000009246"
"400","ENSOARG00000009325"
"401","ENSOARG00000009333"
"402","ENSOARG00000009347"
"403","ENSOARG00000009410"
"404","ENSOARG00000009440"
"405","ENSOARG00000009443"
"406","ENSOARG00000009454"
"407","ENSOARG00000009469"
"408","ENSOARG00000009508"
"409","ENSOARG00000009610"
"410","ENSOARG00000009670"
"411","ENSOARG00000009671"
"412","ENSOARG00000009748"
"413","ENSOARG00000009750"
"414","ENSOARG00000009753"
"415","ENSOARG00000009764"
"416","ENSOARG00000009837"
"417","ENSOARG00000009845"
"418","ENSOARG00000009901"
"419","ENSOARG00000009903"
"420","ENSOARG00000009948"
"421","ENSOARG00000009971"
"422","ENSOARG00000010050"
"423","ENSOARG00000010127"
"424","ENSOARG00000010208"
"425","ENSOARG00000010267"
"426","ENSOARG00000010270"
"427","ENSOARG00000010319"
"428","ENSOARG00000010336"
"429","ENSOARG00000010384"
"430","ENSOARG00000010434"
"431","ENSOARG00000010485"
"432","ENSOARG00000010496"
"433","ENSOARG00000010509"
"434","ENSOARG00000010543"
"435","ENSOARG00000010597"
"436","ENSOARG00000010603"
"437","ENSOARG00000010607"
"438","ENSOARG00000010622"
"439","ENSOARG00000010633"
"440","ENSOARG00000010670"
"441","ENSOARG00000010691"
"442","ENSOARG00000010704"
"443","ENSOARG00000010726"
"444","ENSOARG00000010744"
"445","ENSOARG00000010770"
"446","ENSOARG00000010797"
"447","ENSOARG00000010808"
"448","ENSOARG00000010839"
"449","ENSOARG00000010854"
"450","ENSOARG00000010881"
"451","ENSOARG00000010884"
"452","ENSOARG00000010934"
"453","ENSOARG00000010952"
"454","ENSOARG00000010998"
"455","ENSOARG00000011003"
"456","ENSOARG00000011072"
"457","ENSOARG00000011081"
"458","ENSOARG00000011110"
"459","ENSOARG00000011235"
"460","ENSOARG00000011400"
"461","ENSOARG00000011407"
"462","ENSOARG00000011416"
"463","ENSOARG00000011501"
"464","ENSOARG00000011530"
"465","ENSOARG00000011549"
"466","ENSOARG00000011582"
"467","ENSOARG00000011615"
"468","ENSOARG00000011624"
"469","ENSOARG00000011649"
"470","ENSOARG00000011675"
"471","ENSOARG00000011716"
"472","ENSOARG00000011725"
