sample,breed,diet,MiRNA_3_686,MiRNA_2_411,MiRNA_2_431,MiRNA_5_747,MiRNA_3_667,MiRNA_24_581,MiRNA_13_203,MiRNA_3_646,miRNA_X_887
41B,FIN,CON,4.708,0.672,1.656,1.356,5.472,1.64,2.553,1.307,3.753
41B,FIN,CON,3.413,0.629,1.297,1.063,3.178,2.761,2.565,0.809,2.868
42B,FIN,CON,3.171,0.559,1.698,0.992,2.866,1.481,0.817,1.447,1.989
42B,FIN,CON,2.639,0.6,1.032,1.077,4.601,1.134,1.235,0.843,1.502
45A,FIN,CON,0.793,0.798,4.155,1.049,8.64,2.479,2.934,4.554,9.113
45A,FIN,CON,1.032,0.984,2.393,1.336,7.459,4.036,2.579,4.395,3.247
46F,FIN,CON,1.306,1.192,0.778,0.325,2.022,0.796,1.05,1.027,1.862
46F,FIN,CON,0.839,1.174,0.634,0.397,1.006,0.936,0.961,0.957,1.218
974,FIN,CON,2.105,2.92,3.782,1.02,1.709,3.893,3.354,2.67,1.893
974,FIN,CON,1.774,4.153,2.129,1.094,1.932,2.349,3.915,1.854,1.401
19A,FXT,CON,0.214,0.371,0.326,0.264,0.24,0.549,0.635,0.201,0.283
19A,FXT,CON,0.273,0.564,0.518,0.344,0.245,0.351,0.448,0.197,0.167
29A,FXT,CON,0.174,0.274,0.383,0.196,0.152,0.379,0.399,0.134,0.216
29A,FXT,CON,0.184,0.257,0.237,0.113,0.248,0.272,0.394,0.119,0.228
37C,FXT,CON,2.022,2.641,0.837,0.591,1.122,1.3,1.983,0.661,1.682
37C,FXT,CON,1.357,2.147,0.696,0.443,0.704,1.077,1.356,0.511,1.162
4208,FXT,CON,0.206,1.149,1.092,0.412,1.134,1.237,1.141,1.952,1.341
4208,FXT,CON,0.141,0.599,0.332,0.211,0.678,0.604,0.557,0.939,0.649
11E,TEX,CON,0.444,0.557,0.426,0.326,0.558,0.647,0.703,0.145,0.442
11E,TEX,CON,0.361,0.392,0.336,0.201,0.371,0.474,0.427,0.12,0.298
26B,TEX,CON,0.321,0.399,0.985,0.244,0.417,0.547,0.581,0.122,0.488
26B,TEX,CON,0.424,0.543,0.777,0.206,0.447,0.666,0.584,0.136,0.42
27A,TEX,CON,0.909,1.255,1.214,0.449,3.578,0.768,0.89,1.897,1.247
27A,TEX,CON,0.914,1.436,1.049,0.544,3.972,0.614,0.817,1.956,1
3B,TEX,CON,3.108,2.687,2.563,1.744,5.039,2.691,5.381,2.341,2.018
3B,TEX,CON,2.572,3.326,1.374,0.99,4.095,1.921,2.493,2.474,2.639
44A,TEX,CON,0.916,0.425,0.964,0.572,0.935,1.742,1.363,1.917,0.523
44A,TEX,CON,0.848,0.41,0.839,0.679,0.667,1.219,1.047,1.654,0.566
21J,FIN,FLU,0.113,0.077,0.105,0.079,0.103,0.104,0.142,0.053,0.091
21J,FIN,FLU,0.084,0.064,0.214,0.048,0.085,0.102,0.151,0.056,0.08
23C,FIN,FLU,0.384,0.491,0.364,0.264,0.73,0.304,0.369,0.903,0.21
23C,FIN,FLU,0.365,0.414,0.375,0.244,0.658,0.326,0.309,0.708,0.177
35C,FIN,FLU,0.163,0.138,0.216,0.101,0.376,0.153,0.237,0.158,0.099
35C,FIN,FLU,0.136,0.133,0.129,0.063,0.236,0.196,0.158,0.128,0.103
39A,FIN,FLU,0.375,0.636,0.295,0.195,0.256,0.444,0.51,0.126,0.313
39A,FIN,FLU,0.378,0.602,0.198,0.123,0.243,0.359,0.371,0.106,0.188
5B,FIN,FLU,0.872,2.006,1.444,0.771,1.781,1.466,1.919,0.506,1.166
5B,FIN,FLU,0.624,1.6,0.735,0.607,1.453,1.394,1.393,0.358,0.965
801,FIN,FLU,0.698,0.763,0.714,0.296,0.579,0.889,0.883,0.164,0.931
801,FIN,FLU,0.669,0.787,0.697,0.263,0.739,0.99,0.812,0.206,0.76
24A,FXT,FLU,0.082,0.113,0.142,0.083,0.126,0.126,0.105,0.035,0.083
24A,FXT,FLU,0.084,0.094,0.148,0.084,0.116,0.097,0.141,0.035,0.07
31A,FXT,FLU,0.494,1.167,0.484,0.724,1.8,0.623,0.727,0.394,0.835
31A,FXT,FLU,0.543,0.727,0.621,0.638,1.731,0.484,0.601,0.413,0.42
33A,FXT,FLU,1,1.635,1.773,1,1.02,1.332,1.391,0.179,0.352
33A,FXT,FLU,0.969,1.676,1.053,0.483,0.882,1.963,0.84,0.183,0.473
4590,FXT,FLU,0.478,1.9,2.092,1.703,1.647,1.764,1.701,0.721,1.007
4590,FXT,FLU,0.532,1.761,1.632,1.612,1.968,1.764,1.46,0.888,1.227
7G,FXT,FLU,1.372,1.951,1.97,0.968,3.676,2.509,2.244,0.914,1.381
7G,FXT,FLU,1.223,1.821,1.198,1.035,3.021,1.641,1.421,0.705,1.042
13B,TEX,FLU,0.345,0.586,0.894,0.332,0.455,0.547,0.455,0.11,0.39
13B,TEX,FLU,0.865,1.036,0.931,1.296,0.742,0.87,0.757,0.17,0.643
22A,TEX,FLU,0.331,0.958,1.1,0.27,0.692,1,1.134,0.107,0.972
22A,TEX,FLU,0.367,1,1,0.266,0.711,0.679,1,0.082,1
379,TEX,FLU,0.199,0.167,0.301,0.152,1,0.24,0.35,0.533,0.728
379,TEX,FLU,0.334,0.232,0.332,0.166,1.261,0.299,0.414,1,0.939
43A,TEX,FLU,0.201,0.313,0.319,0.103,0.168,0.213,0.291,0.174,0.258
43A,TEX,FLU,0.217,0.291,0.17,0.117,0.24,0.214,0.423,0.217,0.093
4H,TEX,FLU,0.311,0.294,0.553,0.373,0.228,0.607,0.516,0.213,0.202
4H,TEX,FLU,0.356,0.325,0.469,0.296,0.194,0.559,0.579,0.215,0.166
9K,TEX,FLU,1.162,3.375,0.992,1.204,1.479,1.716,1.591,0.717,2.135
9K,TEX,FLU,1.011,1.302,1.08,0.853,1.303,1.431,1.216,0.608,1.992
