sample,breed,diet,GAPDH,GPSM3,SLCO2A1,GJA5,CYP26B1,ABLIM3,BMX,CNTN4,FBLN2
41B,FIN,CON,18.34,23.51,25.35,26.81,24.11,27.413,31.774,35.79,37.87
41B,FIN,CON,18.29,23.01,25.86,26.72,24.358,29.852,30.993,34.74,37.901
42B,FIN,CON,18.16,24.17,22.35,23.49,26.445,24.985,28.934,33.97,34.73
42B,FIN,CON,18.07,24.51,21.97,23.45,25.559,25.036,27.423,33.53,34.41
45A,FIN,CON,19.9,24.82,21.44,23.74,27.355,24.902,29.26,29.7,33.89
45A,FIN,CON,19.86,24.81,21.48,23.54,27.591,24.57,29.147,28.74,34.66
46F,FIN,CON,17.73,24.39,22.7,24.76,27.907,26.263,27.454,37.7,33.64
46F,FIN,CON,17.7,23.96,22.56,22.99,27.853,26.977,29.465,36.56,33.87
974,FIN,CON,17.96,24.48,22.83,22.25,27.569,24.81,29.354,30.98,35.4
974,FIN,CON,18.12,24.35,22.29,22.45,27.068,25.037,28.468,30.68,34.95
19A,FXT,CON,17.56,24.66,22.46,22.45,27.612,24.648,26.23,33.13,33.17
19A,FXT,CON,17.48,24.41,22.54,22.44,27.862,25.052,31.865,32.78,32.7
29A,FXT,CON,18.53,23.08,22.21,22.96,24.91,29.443,28.996,32.77,35.26
29A,FXT,CON,18.47,22.98,22.61,23.09,24.984,24.895,28.921,32.27,35.93
37C5,FXT,CON,17.63,28.87,28.67,27.72,28.162,32.136,33.478,36.697,36.9
37C5,FXT,CON,17.56,28.19,28.74,27.024,28.274,29.952,34.505,36.262,36.89
37C6,FXT,CON,17.43,25.37,24.42,26.34,27.621,31.596,33.36,32.55,38.1
37C6,FXT,CON,17.39,25.48,23.92,27.78,27.895,27.1,31.518,31.09,38.5
37C7,FXT,CON,17.36,25,23.57,25.64,28.403,26.508,28.643,33.47,35.92
37C7,FXT,CON,17.34,25.01,23.68,24.06,30.55,25.828,28.614,32.59,37.49
4208,FXT,CON,15.19,25.97,25.21,28.149,30.565,30.798,36.661,33.505,NA
4208,FXT,CON,15.34,25.84,25.5,28.334,29.57,30.392,36.229,34.469,NA
11E,TEX,CON,18.98,25.6,21.32,24.693,24.824,24.971,28.272,31.69,35.3
11E,TEX,CON,19.05,25.43,20.72,25.028,26.011,25.169,27.437,31.06,36.41
26B,TEX,CON,19.344,24.59,22.88,24.54,27.116,29.841,30.953,34.12,34.93
26B,TEX,CON,19.399,25.03,22.52,24.63,26.945,30.12,29.696,32.82,34.17
27A,TEX,CON,18.29,26.68,27.76,31.29,28.386,34.338,36.602,38.201,NA
27A,TEX,CON,18.17,27.09,25.91,31.34,31.254,34.354,37.913,38.86,NA
3B,TEX,CON,16.65,26.35,23.39,25.6,26.692,26.798,30.926,29.99,39.52
3B,TEX,CON,16.63,25.52,23.59,26.57,27.147,26.22,30.796,29.9,39.38
44A,TEX,CON,17.85,26.39,24.03,25.5,27.014,27.286,31.139,31.42,35.6
44A,TEX,CON,17.88,26.31,23.05,26.79,27.556,26.264,30.675,30.08,38.13
21J,FIN,FLU,19.11,25.95,23.09,25.69,27.541,26.744,30.766,30.56,36.59
21J,FIN,FLU,19.06,26.28,22.9,25.78,26.526,26.291,30.594,29.39,36.365
23C,FIN,FLU,18.43,24.57,22.81,24.68,26.996,25.644,29.541,28.83,36.69
23C,FIN,FLU,18.38,23.78,22.22,24.86,27.362,25.546,30.957,28.27,35.87
35C,FIN,FLU,17.87,24.01,22.13,24.53,27.28,25.016,30.078,28.74,38.7
35C,FIN,FLU,17.86,24.09,22.17,24.33,26.63,24.946,30.015,28.24,36.14
39A,FIN,FLU,16.17,24.22,21.92,24.49,27.393,25.393,30.32,28.92,38.7
39A,FIN,FLU,16.25,24,22.25,24.7,26.589,25.274,31.442,28.6,38.07
39E,FIN,FLU,16.37,17.86,21.09,22.34,22.098,23.933,28.293,31.4,34.93
39E,FIN,FLU,16.22,18.55,20.98,22.32,22.142,24.015,28.497,32.02,36.35
39J,FIN,FLU,16.35,25.87,24.38,28.43,29.181,27.224,34.369,37.758,38.8
39J,FIN,FLU,16.39,25.83,24.08,27.5,28.418,27.866,33.105,36.274,37.67
5B,FIN,FLU,18.13,24.14,21.88,22.86,25.849,23.916,27.831,29.22,36.68
5B,FIN,FLU,18.18,23.72,20.68,23.33,25.293,23.707,27.725,29.21,34.95
801,FIN,FLU,19.41,25.06,24.12,24.86,27.463,26.975,31.913,34.63,36.48
801,FIN,FLU,19.41,24.85,23.93,24.9,26.711,26.764,30.534,32.62,39.64
24A,FXT,FLU,17.76,24.53,19.1,22.62,21.871,22.69,29.747,31.63,34.8
24A,FXT,FLU,17.66,23.94,18.66,22.64,22.442,23.38,35.258,31.55,34.58
31A,FXT,FLU,18.61,24.84,22.51,22.99,26.414,24.453,26.909,33.17,33.99
31A,FXT,FLU,18.52,24.41,22.54,22.43,26.623,24.337,26.61,33.65,34.67
33A,FXT,FLU,16.68,25.054,22.35,24.24,26.583,26.537,30.772,33.04,36.44
33A,FXT,FLU,16.54,24.779,22.52,24.35,26.375,26.366,31.845,30.74,36.47
4563,FXT,FLU,17.97,26.04,22.98,24.43,29.533,25.772,30.332,32.05,38.074
4563,FXT,FLU,18.07,26.12,23.51,24.41,29.655,25.885,29.942,32.07,38.14
4590,FXT,FLU,19.36,26.79,27.12,26.71,29.043,27.569,33.838,38.295,36.07
4590,FXT,FLU,19.34,27.19,23.84,27.52,29.196,29.063,34.177,37.758,38.55
7G,FXT,FLU,18.38,24.56,19.77,23.18,24.917,28.932,30.027,31.04,35.2
7G,FXT,FLU,18.08,24.73,19.19,23.43,25.231,24.419,29.943,30.75,35.23
7M,FXT,FLU,18.2,25.78,22.15,22.2,25.769,25.048,27.095,32.1,33.65
7M,FXT,FLU,18.05,25.81,22.33,22.52,25.688,24.932,27.406,31.87,34.63
13B,TEX,FLU,18.06,24.54,22.43,22.43,25.126,24.112,29.344,31.94,34.13
13B,TEX,FLU,18.02,25.49,22.16,22.34,24.607,24.364,29.057,32.28,34.49
22A,TEX,FLU,17.61,24.58,25.26,24.59,25.95,26.464,31.597,37.35,35.92
22A,TEX,FLU,17.5,24.55,25.27,24.54,26.269,26.456,31.069,37.04,36.14
379,TEX,FLU,18.84,25.28,22.56,22.7,25.513,24.434,27.495,32.45,33.9
379,TEX,FLU,18.77,25.22,22.96,22.69,25.481,24.465,30.786,32.07,33.63
43A,TEX,FLU,17.01,24.79,22.29,24.57,26.757,26.262,30.644,33.17,36.17
43A,TEX,FLU,16.98,24.61,22.4,24.49,26.84,26.481,32.717,32.06,36.9
4H,TEX,FLU,18.11,24.8,22.91,24.68,26.967,26.384,32.046,31.19,36.38
4H,TEX,FLU,18.09,24.76,22.76,25.96,26.907,26.735,30.946,32.69,37.41
4P,TEX,FLU,18.21,24.86,25.09,24.59,27.332,25.695,28.04,29.72,36.873
4P,TEX,FLU,18.25,24.86,23.93,24.55,28.712,26.145,28.361,29.76,36.645
787,TEX,FLU,18.21,24.67,23.06,22.8,27.075,25.781,27.63,34.15,32.92
787,TEX,FLU,18.34,24.79,22.63,23.18,27.636,25.865,31.273,33.28,33.92
9K,TEX,FLU,18.97,23.84,23.24,24.33,28.246,26.999,29.908,35.46,33.11
9K,TEX,FLU,19.03,23.79,23.03,23.97,28.318,27.024,29.41,34.99,32.83
